Title,Score,ProgressChapter,ProgressVolumes,Type
Koukaku Kidoutai,0,11,1,MANGA
Imawa no Kuni no Alice,0,87,18,MANGA
Kamisama no Iutoori,0,21,5,MANGA
Ane Doki!,0,26,3,MANGA
Hideout,0,9,1,MANGA
Samurai 8: Hachimaruden,0,43,5,MANGA
Prunus Girl,0,43,6,MANGA
Code:Breaker,0,230,26,MANGA
SKET Dance,0,288,32,MANGA
Sanctuary,0,105,12,MANGA
Saiki Kusuo no Ψ-nan,0,290,26,MANGA
Half & Half,0,13,2,MANGA
Ana Satsujin,0,136,8,MANGA
Hayate no Gotoku!,0,570,52,MANGA
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,0,20,2,MANGA
Bokura ga Ita,0,70,16,MANGA
Saotome-Senshu, Hitakakusu,0,124,10,MANGA
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,0,0,14,NOVEL
Ore Monogatari!!,0,53,13,MANGA
Beast Master,0,9,2,MANGA
Hatsukoi Zombie,0,167,17,MANGA
Defense Devil,0,100,10,MANGA
Hare-Kon.,0,187,19,MANGA
Byousoku 5 Centimeter,0,11,2,MANGA
Shin Angyo Onshi,0,75,17,MANGA
Konjiki no Gash!!,0,323,33,MANGA
Kareshi Kanojo no Jijou,0,103,21,MANGA
Renai Boukun,0,61,14,MANGA
Tanaka-kun wa Itsumo Kedaruge,0,140,13,MANGA
3D Kanojo: Real Girl,0,48,12,MANGA
Hotel,0,5,1,MANGA
Sekirei,0,187,18,MANGA
Helck,0,111,12,MANGA
Tokyo Ghoul: Jack,0,7,1,MANGA
Dagashi Kashi,0,186,11,MANGA
Shi ga Futari wo Wakatsu Made,0,217,26,MANGA
Tonari no Kashiwagi-san,0,84,12,MANGA
Oresama Teacher,0,168,29,MANGA
Sakamichi no Apollon,0,45,9,MANGA
Reimei no Arcana,0,65,13,MANGA
Happy Sugar Life,0,53,10,MANGA
Wagatsuma-san wa Ore no Yome,0,111,13,MANGA
Woori,0,117,5,MANGA
Death Note C-Kira-hen,0,1,0,ONE_SHOT
Criminale!,0,35,4,MANGA
Jisatsutou,0,168,17,MANGA
High School DxD,0,168,25,NOVEL
Ga-Rei,0,52,12,MANGA
Love Stage!!,0,40,7,MANGA
My Girl,0,44,5,MANGA
L♥DK,0,98,24,MANGA
Baby Steps,0,464,47,MANGA
Aho-Girl,0,155,12,MANGA
One Outs,0,175,20,MANGA
Doukyuusei,0,6,1,MANGA
Inu x Boku SS,0,49,11,MANGA
Shamo,0,334,34,MANGA
Unbalance x Unbalance,0,82,10,MANGA
Yasashii Sekai no Tsukurikata,0,36,6,MANGA
Gamaran,0,194,22,MANGA
Youkai Shoujo: Monsuga,0,146,14,MANGA
Teppuu,0,35,8,MANGA
Hana to Akuma,0,58,10,MANGA
Emma,0,72,10,MANGA
Trigun,0,22,3,MANGA
Danshi Koukousei no Nichijou,0,132,7,MANGA
Amaama to Inazuma,0,64,12,MANGA
Bocchi na Bokura no Renai Jijou,0,14,2,MANGA
Okusama ga Seito Kaichou!,0,70,13,MANGA
I''s,0,143,15,MANGA
Again!!,0,136,12,MANGA
Ore ga Ojousama Gakkou ni "Shomin Sample" Toshite Rachirareta Ken,0,81,15,MANGA
Biomega,0,42,6,MANGA
Kekkaishi,0,345,35,MANGA
Fate/Zero,0,18,4,NOVEL
Black Torch,0,19,5,MANGA
Sekai no Owari to Yoake Mae,0,13,1,MANGA
Mayo Chiki!,0,39,7,MANGA
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen,0,11,2,MANGA
Saikyou Densetsu Kurosawa,0,90,11,MANGA
Feng Shen Ji,0,38,0,MANGA
Zaregoto Series,0,72,9,NOVEL
Goth,0,5,1,MANGA
Fudatsuki no Kyouko-chan,0,37,7,MANGA
Yugami-kun ni wa Tomodachi ga Inai,0,81,16,MANGA
Nineteen, Twenty-One,0,21,2,MANGA
Sasameki Koto,0,55,9,MANGA
666 Satan,0,76,19,MANGA
Kasane,0,126,14,MANGA
Isekai de "Kuro no Iyashi Te" tte Yobareteimasu,0,49,7,MANGA
AQUA,0,10,2,MANGA
Kagami no Kuni no Harisugawa,0,29,3,MANGA
