Title,Score,ProgressChapter,ProgressVolumes,Type
Vamp!,0,38,5,NOVEL
Kono Sekai wa Tsuite iru,0,17,3,MANGA
Oresama Ouji,0,5,1,MANGA
Ayakashi Koi Emaki,0,28,6,MANGA
Satoko to Nada,0,402,4,MANGA
Hanza Sky,0,115,13,MANGA
Onee-chan ga Kita,0,124,15,MANGA
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,0,22,4,MANGA
Subarashiki Kono Sekai,0,2,1,MANGA
Kokoro ga Sakebitagatterun da.,0,28,4,MANGA
Kimi no Na wa. Another Side: Earthbound,0,14,2,MANGA
Lessa,0,58,0,MANGA
New Danganronpa V3: Minna no Koroshiai Shin Gakki Comic Anthology,0,43,3,MANGA
Neoui Sarange Daehayeo,0,86,0,MANGA
Barbara,0,15,2,MANGA
Datte Maou-sama wa Kare ga Kirai,0,19,3,MANGA
Hanaotoko,0,40,3,MANGA
Hajime,0,2,0,MANGA
Gantz/Minus,0,8,1,NOVEL
Onimote,0,54,3,MANGA
Kamisama ga Yadoru Kotoba,0,1,0,ONE_SHOT
08:05 no Hengao-san,0,1,0,ONE_SHOT
Tsumaranai Otoko,0,6,1,MANGA
Baka ga Zenra de Yattekuru,0,9,2,MANGA
Dive in the Vampire Bund,0,16,2,MANGA
Angel Heart,0,363,33,MANGA
Nekogahara,0,29,5,MANGA
Bi no Kyoujin,0,14,2,MANGA
Ichigo Jikan,0,11,2,MANGA
Sarashi Asobi,0,8,2,MANGA
8-gatsu no Ghost,0,11,1,MANGA
Otogi Matsuri,0,73,12,MANGA
Madoka no Himitsu,0,7,1,MANGA
17-sai no Hisoka na Yokujou,0,6,1,MANGA
Kodomo wa Wakatte Agenai,0,20,2,MANGA
Cappuccino,0,7,1,MANGA
Kyuukyoku Venus,0,39,9,MANGA
Furumapura,0,22,2,MANGA
Renai Harem Game Shuuryou no Oshirase ga Kuru Koro ni,0,19,4,MANGA
Gokurakugai Sanban-doori no Ken,0,1,0,ONE_SHOT
Complex,0,24,4,MANGA
Amerikan Yuryeongjaek,0,101,0,MANGA
Palace Meidi,0,28,7,MANGA
Nobara no Hanayome,0,10,2,MANGA
Hello Again,0,6,1,MANGA
Kaira,0,4,1,MANGA
Harukoma,0,1,0,ONE_SHOT
Sakura Quest,0,0,5,MANGA
Hot Blooded Woman,0,183,24,MANGA
Smash!,0,170,18,MANGA
JK to Sutego no Akachan,0,21,3,MANGA
Red,0,151,19,MANGA
Otomegokoro,0,8,2,MANGA
Odoru! Kremlin Kyuuden,0,11,1,MANGA
Kyousou Heaven,0,18,3,MANGA
1-Pound no Fukuin,0,37,4,MANGA
Kakugo wa Ii ka Soko no Joshi.,0,13,2,MANGA
Junketsu no Maria,0,25,3,MANGA
Mononofu,0,43,5,MANGA
Bokutachi no Ikita Riyuu,0,69,6,MANGA
Godeath: Megami no Ketsumyaku,0,30,3,MANGA
Another Monster,0,31,1,NOVEL
Maou no Kawaii Yamada wa Yoiko,0,30,4,MANGA
Koe Koi,0,130,0,MANGA
Anata no Tame Nara Doko Made mo,0,10,1,MANGA
Kocchi Muite Waratte,0,6,1,MANGA
Mori Kaoru Shuuishuu: Anything and Something,0,11,1,MANGA
Yukimura-sensei to Kei-kun,0,7,1,MANGA
Akaki Tsuki no Meguru Koro,0,10,2,MANGA
Choujigen Game Neptune: Megami Tsuushin,0,43,4,MANGA
Kanpeki na Kanojo,0,36,6,MANGA
Phenomeno,0,25,6,NOVEL
Nyoroko no Namahousou!,0,20,2,MANGA
Yuuki Yuuna wa Yuusha de Aru,0,30,5,MANGA
Nogi Wakaba wa Yuusha de Aru,0,20,4,MANGA
Frankenstein,0,11,1,MANGA
Nae eolingoyangiwa neulgeungae,0,215,3,MANGA
Sugiru Juunana no Haru,0,14,2,MANGA
Sweet Black,0,5,1,MANGA
Hiiro Ouji,0,0,3,MANGA
Ghost Heights Kanri Kumiai,0,1,0,ONE_SHOT
Drag-On Dragoon: Shi ni Itaru Aka,0,21,3,MANGA
Kageno datte Seishun Shitai,0,46,11,MANGA
Golden Days,0,47,8,MANGA
Monster Petite Panic,0,5,1,MANGA
Boruto: Naruto the Movie,0,7,1,NOVEL
Toaru Majutsu no Index SP,0,4,1,NOVEL
Isekai no Shikisai Lovecraft Kessakushuu,0,6,1,MANGA
Oni ni Hatsujou,0,6,1,MANGA
Ubume no Natsu,0,10,4,MANGA
Kabocha to Mayonnaise,0,10,1,MANGA
Ghost Sweeper Mikami,0,390,39,MANGA
Cipher,0,65,12,MANGA
Dance in the Vampire Bund: Sledge Hammer no Tsuioku,0,13,3,MANGA
Black★Rock-chan,0,10,1,MANGA
Yaotsukumo,0,10,2,MANGA
Leviathan,0,70,12,MANGA
Aruitou,0,0,11,MANGA
Embalming: The Another Tale of Frankenstein,0,58,10,MANGA
Over Rev!,0,349,31,MANGA
Mata no Okoshi wo!,0,31,4,MANGA
Shingeki no Kyojin: Kakuzetsu Toshi no Joou,0,7,2,NOVEL
Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,0,94,12,NOVEL
Raiden-18,0,3,0,MANGA
Skill "Daidokoro Shoukan" wa Sugoi!: Isekai de Gohan Tsukutte Point Tamemasu,0,11,0,MANGA
Saiunkoku Monogatari,0,42,9,MANGA
Imawabi no Dakini,0,16,3,MANGA
Drug-On,0,29,5,MANGA
Self,0,0,4,MANGA
Hime no Dameshi,0,32,3,MANGA
Hyouge Mono,0,273,25,MANGA
Fate/Prototype: Sougin no Fragments,0,38,5,NOVEL
Tsuki no Sango,0,4,1,NOVEL
Ouji Romantica,0,4,1,MANGA
K Side:Red,0,6,1,NOVEL
Spicy Pink,0,12,2,MANGA
Usagi-moku Shachiku-ka,0,70,5,MANGA
Yeongwonui Juin,0,73,0,MANGA
Miyuki,0,95,12,MANGA
Tsukushite Agemasu,0,5,1,MANGA
Gin no Cross to Draculea,0,40,5,NOVEL
Hana to Uso to Makoto,0,21,1,MANGA
Mon Seul,0,10,1,MANGA
Crazy Girl Shin Bia,0,85,19,MANGA
Yarisugi Companion to Atashi Monogatari,0,12,1,MANGA
Toaru Idol no Accelerator-sama,0,39,4,MANGA
Boku wa Tomodachi ga Sukunai Shobon!,0,9,1,MANGA
Galge no Sekai yo, Youkoso!,0,13,2,MANGA
Vendemiaire no Tsubasa,0,8,2,MANGA
Nee, Sensei?,0,6,1,MANGA
Ritou no Umi,0,5,1,MANGA
Adolte and Adarte,0,1,0,ONE_SHOT
Heavy Object,0,5,1,MANGA
Koko kara Saki wa NG!,0,14,3,MANGA
Akane-iro ni Somaru Saka,0,11,2,MANGA
Angel Dust,0,9,1,MANGA
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,0,1957,200,MANGA
Hitsugi no Chaika,0,60,12,NOVEL
Boku no Shiru Anata no Hanashi,0,6,1,MANGA
Poe no Ichizoku,0,26,5,MANGA
Touhou Gumonshiki: Memorizable Gensokyo,0,1,0,ONE_SHOT
Glamorous Lip,0,6,1,MANGA
Interval Zero,0,6,1,MANGA
Dagasy: Houkago Chounouryoku Sensou,0,15,3,MANGA
Zutto Suki Datta Kuse ni,0,6,1,MANGA
Modokidomo,0,20,2,MANGA
One-Room Hero,0,79,0,MANGA
Himitsu: Top Secret,0,22,12,MANGA
Sword Art Online 4-koma,0,39,3,MANGA
Hibari no Asa,0,14,2,MANGA
Gokuraku Seishun Hockey Club,0,54,14,MANGA
Shoujo☆Kageki Revue Starlight Overture,0,10,2,MANGA
Inu Neko Jump!,0,41,5,MANGA
Spirit of Wonder,0,12,1,MANGA
Sekai de Ichiban Tadashii Kyuuketsuki no Kaikata,0,11,2,MANGA
Steins;Gate 0,0,41,6,MANGA
Café Latte Rhapsody,0,5,1,MANGA
Bara Kangoku no Kemono-tachi,0,20,4,MANGA
Ikemen Sugi desu Shiki Senpai!,0,10,2,MANGA
Secret Folder,0,18,0,MANGA
beautiful people,0,6,1,MANGA
Kumabachi no Koto,0,1,0,ONE_SHOT
Sugarless,0,159,18,MANGA
Luck Stealer,0,49,10,MANGA
Chimamire Sukeban Chainsaw,0,89,13,MANGA
Usagi Otoko Tora Otoko,0,12,3,MANGA
Steins;Gate: Heiji Kyokusen no Epigraph,0,11,2,MANGA
Ojousama no Untenshu,0,10,2,MANGA
Love Lesson,0,6,1,MANGA
Kocchi Muite, Ai,0,5,1,MANGA
2.5 Jigen Kareshi,0,8,2,MANGA
Harigane Service,0,212,24,MANGA
Zenbu Choudai,0,11,2,MANGA
Ikoku Meiro no Croisée,0,18,2,MANGA
Miseinen dakedo Kodomo ja Nai,0,36,5,MANGA
Soutaisei Moteron,0,11,2,MANGA
Ue Kara Kataomoi,0,4,1,MANGA
Zettai Renai Program,0,12,2,MANGA
Monogatari Series Heroine Hon,0,7,0,NOVEL
Shoujo Gensou Necrophilia,0,15,3,MANGA
Sukima-Shiki,0,6,1,MANGA
Hatsukoi Losstime,0,9,2,MANGA
Anata ni Hana wo Sasagemashou,0,20,4,MANGA
Oita ga Sugiruwa Koneko-chan,0,6,1,MANGA
Seinen wa Ai wo Kou,0,5,1,MANGA
Gilbert in Wonderland,0,1,0,ONE_SHOT
Dante Shinkyoku,0,39,3,MANGA
My Boyfriend is a Vampire,0,48,14,MANGA
Komomo Confiserie,0,29,5,MANGA
Blood Honey,0,5,1,MANGA
Psychic Academy,0,37,11,MANGA
Shirogane no Karasu,0,25,3,MANGA
Higurashi no Naku Koro ni Kai Utsutsukowashi-hen,0,3,1,MANGA
Mononoke Soushi,0,31,4,MANGA
Blue Drop: Tenshi no Bokura,0,12,2,MANGA
Nishikaidan no Akuma,0,1,1,MANGA
Fujiyuu Sekai,0,6,1,MANGA
Fukukaichou Ganbaru.,0,14,1,MANGA
Crimson Empire: Circumstances to Serve a Noble,0,17,3,MANGA
Kimi to Natsu no Naka,0,5,1,MANGA
Kare no Shousou to Koi ni Tsuite,0,18,3,MANGA
Innocents Shounen Juujigun,0,25,3,MANGA
Nekome Kozou,0,11,4,MANGA
S.P.Y.,0,13,2,MANGA
20 Mensou ni Onegai!!,0,11,2,MANGA
Sodatechi Maou!,0,161,8,MANGA
SAI:Taker - Futari no Artemis,0,12,3,MANGA
Yukidoke no Koi,0,8,1,MANGA
Hitori-tachi,0,4,1,MANGA
Touhou Sangetsusei: Visionary Fairies in Shrine,0,15,3,MANGA
Family Complex,0,7,1,MANGA
Hibiki no Mahou,0,35,6,MANGA
Baccano!,0,22,3,MANGA
SWOT,0,1,0,ONE_SHOT
Itsuka Minoreba,0,12,2,MANGA
Toshishita Kareshi no Renai Kanriguse,0,12,2,MANGA
Madofuki Park,0,1,0,ONE_SHOT
Oni-Deka!,0,35,7,MANGA
Shinde kudasai! Yuusha desho?,0,14,2,MANGA
Shounen Maid,0,62,10,MANGA
Running on Empty,0,12,2,MANGA
Turning Point,0,5,1,MANGA
Yuru Yuru,0,46,3,MANGA
Kyoukai Senjou no Limbo,0,27,2,MANGA
Double Baby,0,5,1,MANGA
Hero Killer,0,1,0,ONE_SHOT
Choudennou Parataxis,0,8,1,MANGA
Majimoji Rurumo,0,42,7,MANGA
Tabi ni Deyou, Horobiyuku Sekai no Hate Made,0,5,1,NOVEL
Latin,0,4,1,MANGA
Kagetora,0,56,11,MANGA
Boy of the Female Wolf,0,102,17,MANGA
Fairy Tail City Hero,0,45,4,MANGA
Otome no Iroha!,0,5,1,MANGA
Koi ni Koisuru Yukari-chan,0,0,0,MANGA
EX-ARM,0,130,14,MANGA
ef: A Fairy Tale of the Two.,0,63,10,MANGA
Tada, Kimi wo Aishiteru,0,4,1,MANGA
Ichi Ni no San!,0,5,1,MANGA
Kore wa Koi ni Fukumaremasu ka,0,5,1,MANGA
Kitoh Mohiro Tanpenshuu: Zansho,0,7,1,MANGA
Hitomi No Dokusenyoku,0,7,1,MANGA
Ginga: Nagareboshi Gin,0,55,18,MANGA
Esprit,0,30,8,MANGA
Sword Art Online SS: Caliber SS-han,0,3,1,NOVEL
Kuroshitsuji Anthology Comic Nijishitsuji,0,14,2,MANGA
Uwasa no Oujisama,0,6,1,MANGA
Trinity Seven: Levi Ninden,0,14,3,MANGA
Naisho ja Tarinai yo,0,5,1,MANGA
Book Club,0,18,3,MANGA
Little Busters!,0,32,6,MANGA
Song of the Cloud,0,63,2,MANGA
Teekyuu,0,143,15,MANGA
Aejeong Voice,0,36,0,MANGA
Kami-sama no Iutoori,0,8,2,MANGA
Mahou Shoujo Ikusei Keikaku,0,12,2,MANGA
Venus ni Arazu,0,7,2,MANGA
Guomin Laogong Dai Huijia,0,182,0,MANGA
Joshi Kousei,0,106,13,MANGA
Tenbin wa Hana to Asobu,0,12,2,MANGA
Geten no Hana,0,14,3,MANGA
Aldnoah.Zero,0,12,4,MANGA
Tonari no Koigataki: Wagamama Icchan Yowamushi Hiro-kun,0,12,2,MANGA
Mail,0,18,3,MANGA
I Am a Hero in Nagasaki,0,8,1,MANGA
Honey Blood,0,85,2,MANGA
No Game No Life Gaiden: Practical War Game,0,6,1,NOVEL
Ore no Kanojo to Osananajimi ga Shuraba Sugiru Ai,0,10,1,MANGA
Le Théâtre de B,0,13,1,MANGA
Gwi,0,34,5,MANGA
Toki wo Kakeru Shoujo,0,7,2,MANGA
Dounika Naru Hibi,0,15,2,MANGA
Eros in the Stoic,0,1,0,ONE_SHOT
Kenrou Densetsu,0,10,2,MANGA
Shoujo Kakumei Utena: Adolescence Mokushiroku,0,2,1,MANGA
Boku wa Sakana.,0,1,0,ONE_SHOT
Kimi no Neiro,0,16,4,MANGA
Dragon Ball: Heya! Son Goku and His Friends Return!!,0,2,1,MANGA
Bakuretsu Tenshi,0,16,3,MANGA
Peak,0,139,7,MANGA
Shiro Ali,0,65,10,MANGA
Matsumoto Eiko wa Futsuu no Ko,0,1,0,ONE_SHOT
Shiroi Majo,0,6,1,MANGA
The Ring,0,9,2,MANGA
Onnanoko ga H na Manga Egaicha Dame desu ka?,0,20,3,MANGA
World Apartment Horror,0,4,1,MANGA
Doukyuusei: Gold Ring & Silver Ring,0,2,1,MANGA
Shounen Shoujo Hyouryuuki,0,12,1,MANGA
Body Talk Paradox,0,11,1,MANGA
PxP,0,4,1,MANGA
Amagami: Sincerely Yours,0,6,1,MANGA
Bye Bye Mitsubari,0,4,0,MANGA
Kuro Hakubutsukan: Ghost and Lady,0,28,2,MANGA
Houkago no Love Call,0,7,1,MANGA
MÄR Omega,0,39,4,MANGA
Aria Special Navigations,0,3,0,MANGA
Pinocchio,0,79,0,MANGA
V.B. Rose,0,83,14,MANGA
Kimi no Iru Machi: Mousou 200-wa,0,8,0,MANGA
Kami-sama bakari Koi wo Suru,0,10,2,MANGA
Shikabane★Cherry,0,17,3,MANGA
Koi no Kotoba,0,13,1,MANGA
Arata Primal,0,35,4,MANGA
The Bastard’s Dead Man,0,18,0,MANGA
A Bias Girl,0,15,2,MANGA
Steins;Gate: Mugen Enten no Arc Light,0,6,1,MANGA
Gokujou Twins,0,5,1,MANGA
Shakunetsu no Takkyuu Musume,0,32,7,MANGA
Shinigami Lovers,0,12,2,MANGA
Suki. Dakara Suki,0,15,3,MANGA
Totsugami,0,0,10,MANGA
Ore, Maou Dakedo Baretenai yo ne?,0,14,2,MANGA
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka 4-koma: Kamisama no Nichijou,0,35,2,MANGA
Mao Dante,0,3,3,MANGA
Majo no Biyaku,0,25,5,MANGA
Ashita no Kyouko-san,0,106,7,MANGA
Fujiwara-kun wa Daitai Tadashii,0,44,9,MANGA
Sono Kuchibiru, Itadakimasu,0,4,1,MANGA
Koi Nanka Shitakunai - Kyou kara Kyoudai ni Nari,0,9,2,MANGA
Harete Bokutachi wa,0,6,1,MANGA
Shitteru yo.,0,5,1,MANGA
Yami ni Hau Mono Lovecraft Kessakushuu,0,4,1,MANGA
Hanashippanashi,0,45,2,MANGA
Mielino Kashiwagi,0,22,2,MANGA
Seifuku Aventure,0,28,3,MANGA
1/3 Romantica,0,5,1,MANGA
Citrus,0,0,2,MANGA
Kanojotachi no Saishuu Teiri,0,11,1,MANGA
Ashita no Kimi wa Koko ni Inai,0,5,1,MANGA
Coffee Jikan,0,17,1,MANGA
Vampire Game,0,92,15,MANGA
Kanna to Decchi,0,28,7,MANGA
Boku no Idol,0,1,0,ONE_SHOT
Akuma mo Fumu wo Osoreru Tokoro,0,19,3,MANGA
Buchimaru Chaos,0,25,3,MANGA
1 Love 9,0,0,3,MANGA
Ore to Hero to Mahou Shoujo,0,46,7,MANGA
Beast & Feast,0,6,1,MANGA
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0,18,2,NOVEL
Girls Go Around,0,10,2,MANGA
Renren Zakari,0,5,1,MANGA
Usotsuki wa Dareda,0,6,1,MANGA
Kemono Friends: Youkoso Japari Park e!,0,20,2,MANGA
Watashi no Ookami-san,0,10,2,MANGA
Kare no Satsujin Keikaku,0,1,0,ONE_SHOT
Mai-Otome,0,44,5,MANGA
Blood★Lad Brat,0,28,2,MANGA
Muv-Luv Unlimited,0,30,4,MANGA
Yondemasu yo, Azazel-san.,0,0,16,MANGA
Ciel,0,70,23,MANGA
Demon Tune,0,32,4,MANGA
Manabi Ikiru wa Fuufu no Tsutome,0,396,3,MANGA
Parkbaeu x Kimnampaen,0,171,0,MANGA
Liv,0,1,0,ONE_SHOT
Iono-sama Fanatics,0,12,2,MANGA
Half and Half,0,9,2,MANGA
.hack//AI Buster,0,17,2,NOVEL
Munou no Hito,0,6,1,MANGA
Blood+ Adagio,0,8,2,MANGA
Danshikousei-teki Kazoku Keikaku!,0,6,1,MANGA
Double House,0,4,1,MANGA
NASA,0,12,1,MANGA
Dirty Work,0,1,0,ONE_SHOT
Shin Kozure Ookami: Lone Wolf,0,0,11,MANGA
Zonbicchi wa Bicchi ni Fukumaremasu ka?,0,40,6,MANGA
Dungeon Seeker,0,59,6,NOVEL
Yuugen to Jorei Gakkyuu,0,1,0,ONE_SHOT
Koi to Wana,0,6,1,MANGA
Magnolia,0,45,7,MANGA
Hakase to Suraimu-chan,0,75,0,MANGA
Nanba MG5,0,160,18,MANGA
Torikago Syndrome,0,9,2,MANGA
Akuma to Duet,0,4,1,MANGA
Gyaru Yuri,0,62,0,MANGA
Mone-san no Majime Sugiru Tsukiaikata,0,83,8,MANGA
Wonder Rabbit Girl,0,27,7,MANGA
Isso Mou, Kudokitai!,0,6,1,MANGA
Dear Friends,0,2,1,MANGA
Gunsmith Cats Burst,0,51,5,MANGA
Liberty Liberty!,0,7,1,MANGA
Kotonoha no Miko to Kotodama no Majo to,0,6,1,MANGA
Kamen Rider,0,8,4,MANGA
Yu☆Gi☆Oh!: Transcend Game,0,2,0,MANGA
Chronos -Deep-,0,25,3,MANGA
Kento Ankokuden Cestvs,0,154,15,MANGA
Yorugata Aijin Senmonten: Blood Hound,0,5,1,MANGA
Watashi No Suki na Souma-Kun,0,1,0,ONE_SHOT
Naa-tan to Goshujin-tama,0,1,0,ONE_SHOT
Kamisama no Memochou,0,23,3,MANGA
Keppeki Danshi! Aoyama-kun,0,113,13,MANGA
Unbalance School Life,0,15,2,MANGA
Carole & Tuesday,0,16,3,MANGA
Akachan Ryuu no Osewagakari ni Ninmei saremashita,0,14,2,MANGA
Senpai,0,8,1,MANGA
Sayonara Piano Sonata,0,55,4,NOVEL
Tokyo Ghoul: Kuuhaku,0,5,1,NOVEL
Kuchibiru ni Kimi no Iro,0,7,2,MANGA
Bokutachi wa Asu ni Mukatte Ikiru no da,0,7,1,MANGA
Skyhigh Shinshou,0,32,4,MANGA
Knife Edge Girl,0,4,1,MANGA
Ai Ore!: Danshikou no Hime to Joshikou no Ouji,0,23,5,MANGA
Chiisakobee,0,44,4,MANGA
PSYCHO-PASS 2,0,26,5,MANGA
Rain,0,1,0,ONE_SHOT
Mawaru Penguindrum,0,24,3,NOVEL
Daa! Daa! Daa!,0,47,9,MANGA
Futari no Musuko ni Nerawarete Imasu,0,0,4,MANGA
Tonari no Robot,0,9,1,MANGA
Oounabara to Wadanohara,0,18,2,MANGA
CLANNAD Official Another Story,0,11,2,MANGA
Dear,0,60,12,MANGA
Goshujinsama to Wanko,0,9,1,MANGA
Sugar☆Family,0,28,6,MANGA
Kumo no Mukou, Yakusoku no Basho,0,8,1,MANGA
7 Daime no Tomari,0,11,1,MANGA
Paranoia Street,0,29,3,MANGA
5-ji kara 9-ji made,0,106,16,MANGA
IS: Infinite Stratos,0,41,8,MANGA
Ookami Papa wa Hitsuji Tsura shite Yatte kuru,0,5,1,MANGA
Fukigen Kareshi no Nadamekata,0,4,1,MANGA
Cowa!,0,14,1,MANGA
Bitou Lollipop,0,34,7,MANGA
Mousouka, Koi wo Suru.,0,6,1,MANGA
Ben-to Zero: Road to Witch,0,5,1,MANGA
81 Diver,0,375,35,MANGA
Zomviguarna,0,18,3,MANGA
μ & i,0,23,6,MANGA
Kimi to no Dogfight,0,8,1,MANGA
Rin!,0,11,3,MANGA
Sayonara Game,0,6,1,MANGA
Akuma no Himitsu ♥,0,5,1,MANGA
Gals!,0,40,10,MANGA
Seishun Note,0,8,2,MANGA
3.3.7 Byooshi!!,0,86,10,MANGA
Metsuko ni Yoroshiku,0,24,2,MANGA
Zettai Zetsubou Shoujo: Danganronpa Another Episode,0,16,3,MANGA
Kowamote Koukousei to Jimiko-san,0,32,3,MANGA
Mujihi na Karada,0,6,1,MANGA
Koi, Hirari,0,12,2,MANGA
Keep Out,0,9,1,MANGA
Ibitsu na Koi no Seesaw Game,0,5,1,MANGA
Vampire to Shinigami,0,1,0,ONE_SHOT
Gokkun! Pucho,0,15,3,MANGA
EX - Shounen Hyouryuu,0,26,5,MANGA
Dia Game,0,0,1,MANGA
RYOKO,0,43,5,MANGA
Koorihime Kitan,0,1,0,ONE_SHOT
Gakuen Police,0,16,2,MANGA
Vanilla Spider,0,15,3,MANGA
Arcana Famiglia: Amore Mangiare Cantare!,0,41,4,MANGA
Change H,0,0,9,MANGA
Kishibe Rohan wa Ugokanai Episode 2: Mutsukabezaka,0,1,0,ONE_SHOT
Yuunagi Marbled,0,9,1,MANGA
Charisma Doll,0,10,2,MANGA
Koi ni Naranai Wake ga Nai,0,25,5,MANGA
Nichijou Sahanbi - Beautiful Life,0,5,1,MANGA
Pyuu to Fuku! Jaguar,0,435,20,MANGA
Katakoi Densha,0,6,1,MANGA
Shinigami Alice,0,8,2,MANGA
Seiken no Blacksmith,0,74,16,NOVEL
Suugaku Girl,0,14,2,MANGA
Uta no☆Prince-sama♪,0,0,2,MANGA
Uchiha Sasuke no Sharingan Den,0,26,3,MANGA
Yuri Anthology Dolce,0,32,2,MANGA
Boku no Geboku ni Nare!,0,4,0,MANGA
Ayame 14,0,15,3,MANGA
Underdog,0,17,3,MANGA
C³,0,106,17,NOVEL
Kono Naka ni Hitori, Imouto ga Iru!,0,27,5,MANGA
Kobato. Epilogue: Happiness.,0,1,0,ONE_SHOT
Hoshi ni Negai wo,0,1,0,ONE_SHOT
Atashi, Kiss Shita.,0,1,0,ONE_SHOT
Karada Meate de Warui ka,0,6,1,MANGA
Sungeki no Kyojin,0,55,2,MANGA
Hitotsu Futatsu Himitsu,0,8,1,MANGA
Unknown Code,0,82,0,MANGA
Tenchi Muyo! Ryououki,0,80,12,MANGA
Bullet Armors,0,29,6,MANGA
Shounen☆Princess,0,5,1,MANGA
Space Chef Caisar,0,7,1,MANGA
Paperweight Eye,0,11,2,MANGA
Bloody Maiden: Toomarimiki no Shima,0,11,2,MANGA
High School Musical,0,0,1,MANGA
Anne Happy♪,0,71,10,MANGA
Love and Baseball,0,5,1,MANGA
xxxHOLiC: AnotherHOLiC,0,3,1,NOVEL
Harukaze no Snegurochka,0,7,1,MANGA
Mahou no Iroha!,0,17,3,MANGA
Conflict Lover,0,5,1,MANGA
Yu☆Gi☆Oh! ZEXAL,0,55,9,MANGA
Kanojo no Sekai,0,4,1,MANGA
Yuusha wa Shimei wo Wasureteru,0,11,1,MANGA
Mashounen BT,0,6,1,MANGA
17-sai,0,4,1,MANGA
Princess Tutu,0,10,2,MANGA
Ryuugajou Nanana no Maizoukin,0,111,12,NOVEL
Otome Sensou,0,60,12,MANGA
Koufuku Graffiti,0,75,7,MANGA
Eensy-Weensy Monster,0,12,2,MANGA
Nagatachou Strawberry,0,21,5,MANGA
Flip Flap: Okamoto Lynn Tanpenshuu,0,9,2,MANGA
Tokyo Ghoul: Sekijitsu,0,6,1,NOVEL
Naisho no Jikan,0,5,1,MANGA
Boku to Watashi no Henai Jijou,0,17,2,MANGA
Hajimari no Natsu,0,5,1,MANGA
Kami-sama no Ude no Naka,0,20,4,MANGA
Dragon Drive,0,57,14,MANGA
Itsudatte My Santa!,0,1,0,ONE_SHOT
Biohazard: Heavenly Island,0,50,5,MANGA
Goyangireul Saranghan Mulgogi,0,1,0,ONE_SHOT
Magicalize,0,25,4,MANGA
Jinrou Game: Crazy Fox,0,24,4,MANGA
Hypnosis Mic: Before the Battle - The Dirty Dawg,0,0,0,MANGA
Koudai-ke no Hitobito,0,47,6,MANGA
Tales of Zestiria: Michibiki no Toki,0,19,4,MANGA
Fukouchuu no Shiawase,0,6,1,MANGA
Shin Shirayuki-hime Densetsu Pretear,0,18,4,MANGA
Kamichu!,0,19,2,MANGA
Yachin Hanbun no Ibasho desu.,0,6,1,MANGA
Josei Danshi,0,32,5,MANGA
14R,0,5,1,MANGA
Koi to Kemono to Seitokai,0,22,4,MANGA
Neko to Watashi no Kinyoubi,0,65,11,MANGA
Mahou Shoujo Madoka★Magica: Anthology Comic,0,0,5,MANGA
Gunjou Senki,0,177,17,MANGA
Tsuki Iro no Invader,0,12,2,MANGA
Dounimo Naranai,0,6,1,MANGA
Canvas ni Kuchizuke wo,0,7,1,MANGA
Nemunoki no Geshukusou,0,1,0,ONE_SHOT
Yoningurashi,0,58,4,MANGA
Real Clothes,0,102,13,MANGA
Tokko,0,11,3,MANGA
Risou no Kareshi-tachi,0,1,0,ONE_SHOT
JoJo no Kimyou na Bouken,0,14,1,NOVEL
Meiji Hiiro Kitan,0,64,13,MANGA
Eve no Jikan,0,29,3,MANGA
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,0,16,4,MANGA
Endless World,0,8,1,MANGA
Boku to Issho,0,49,4,MANGA
Cutie Boy,0,39,8,MANGA
Houkago Kiss,0,3,1,MANGA
Sister Generator,0,6,1,MANGA
&,0,45,8,MANGA
Garouden,0,238,26,MANGA
Butterfly Storage,0,23,4,MANGA
Love Allergen,0,31,4,MANGA
Yume Onna,0,1,0,ONE_SHOT
Eroge no Taiyou,0,40,4,MANGA
Hawkwood,0,50,8,MANGA
Denpa Onna to Seishun Otoko,0,0,9,NOVEL
Fushigi no kuni no Arisugawa-san,0,39,9,MANGA
Etsusa Bridge,0,41,4,NOVEL
Nigeru wa Haji daga Yaku ni Tatsu,0,0,0,MANGA
Onegai☆Twins,0,10,1,MANGA
Crackster,0,7,1,MANGA
Mushi to Medama to Teddy Bear,0,34,6,MANGA
Koukaku Kidoutai: Stand Alone Complex,0,42,5,MANGA
Hidari Te,0,1,0,ONE_SHOT
At Na-chan's,0,1,0,ONE_SHOT
Midashitai Giya-san to Midarenai Tadamichi,0,18,2,MANGA
Ginga Tetsudou 999,0,93,12,MANGA
Angolmois: Genkou Kassenki,0,40,10,MANGA
Joshi Shougakusei Hajimemashita,0,63,0,MANGA
Kirameki no Lion Boy,0,40,10,MANGA
Kakeochi Girl,0,16,4,MANGA
Indigo Blue,0,12,1,MANGA
Endou-kun no Jikken Note,0,13,2,MANGA
Kyoumei Suru Echo,0,6,1,MANGA
Saiaku no Jinsei,0,6,1,MANGA
Legend of Tyr,0,66,11,MANGA
Hotaru no Hikari,0,90,15,MANGA
Godspeed,0,10,2,MANGA
